Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
4.7949 sec|-2.5195486536538|-0.0585783141968712|-0.852083417110394|0|0|0|0.211357714708947|0.007252470602758|-0.00897924931770039|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
4.9303 sec|-2.48991892496119|-0.0575616078201642|-0.853342196433935|0|0|0|0.226454694331015|0.00777050421724071|-0.0096206242689647|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.0657 sec|-2.45824576670358|-0.056474783762305|-0.854687788124618|0|0|0|0.241551673953083|0.00828853783172343|-0.010261999220229|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.201 sec|-2.42452917888097|-0.0553178420232937|-0.856120192182442|0|0|0|0.256648653575151|0.00880657144620614|-0.0109033741714933|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.3364 sec|-2.38876916149334|-0.0540907826031301|-0.857639408607406|0|0|0|0.271745633197218|0.00932460506068886|-0.0115447491227576|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.4717 sec|-2.35096571454071|-0.0527936055018143|-0.859245437399512|0|0|0|0.286842612819286|0.00984263867517157|-0.012186124074022|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.6071 sec|-2.31111883802307|-0.0514263107193462|-0.860938278558758|0|0|0|0.301939592441354|0.0103606722896543|-0.0128274990252863|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.7424 sec|-2.26922853194042|-0.049988898255726|-0.862717932085145|0|0|0|0.317036572063421|0.010878705904137|-0.0134688739765506|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
5.8778 sec|-2.22529479629277|-0.0484813681109536|-0.864584397978672|0|0|0|0.332133551685489|0.0113967395186197|-0.0141102489278149|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.0131 sec|-2.17931763108011|-0.046903720285029|-0.866537676239341|0|0|0|0.347230531307557|0.0119147731331024|-0.0147516238790792|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.1485 sec|-2.13129703630244|-0.0452559547779522|-0.86857776686715|0|0|0|0.362327510929624|0.0124328067475851|-0.0153929988303435|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.2838 sec|-2.08123301195977|-0.0435380715897231|-0.870704669862101|0|0|0|0.377424490551692|0.0129508403620679|-0.0160343737816078|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.4192 sec|-2.02912555805209|-0.0417500707203419|-0.872918385224192|0|0|0|0.39252147017376|0.0134688739765506|-0.0166757487328721|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.5545 sec|-1.9749746745794|-0.0398919521698084|-0.875218912953424|0|0|0|0.407618449795827|0.0139869075910333|-0.0173171236841365|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
