Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
0.28 sec|0.0174925173636158|0.0174925173636158|0.0174925173636158|0.0174925173636158|0.0174925173636158|0.0174925173636158|0.124321819834269|0.124321819834269|0.124321819834269|0.124321819834269|0.124321819834269|0.124321819834269|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.3 sec|0.0200806959531304|0.0200806959531304|0.0200806959531304|0.0200806959531304|0.0200806959531304|0.0200806959531304|0.133201949822432|0.133201949822432|0.133201949822432|0.133201949822432|0.133201949822432|0.133201949822432|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.32 sec|0.0228473696177839|0.0228473696177839|0.0228473696177839|0.0228473696177839|0.0228473696177839|0.0228473696177839|0.142082079810594|0.142082079810594|0.142082079810594|0.142082079810594|0.142082079810594|0.142082079810594|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.34 sec|0.0257925383575764|0.0257925383575764|0.0257925383575764|0.0257925383575764|0.0257925383575764|0.0257925383575764|0.150962209798756|0.150962209798756|0.150962209798756|0.150962209798756|0.150962209798756|0.150962209798756|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.36 sec|0.0289162021725078|0.0289162021725078|0.0289162021725078|0.0289162021725078|0.0289162021725078|0.0289162021725078|0.159842339786918|0.159842339786918|0.159842339786918|0.159842339786918|0.159842339786918|0.159842339786918|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.38 sec|0.0322183610625781|0.0322183610625781|0.0322183610625781|0.0322183610625781|0.0322183610625781|0.0322183610625781|0.16872246977508|0.16872246977508|0.16872246977508|0.16872246977508|0.16872246977508|0.16872246977508|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.4 sec|0.0356990150277874|0.0356990150277874|0.0356990150277874|0.0356990150277874|0.0356990150277874|0.0356990150277874|0.177602599763242|0.177602599763242|0.177602599763242|0.177602599763242|0.177602599763242|0.177602599763242|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.42 sec|0.0393581640681356|0.0393581640681356|0.0393581640681356|0.0393581640681356|0.0393581640681356|0.0393581640681356|0.186482729751404|0.186482729751404|0.186482729751404|0.186482729751404|0.186482729751404|0.186482729751404|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.44 sec|0.0431958081836227|0.0431958081836227|0.0431958081836227|0.0431958081836227|0.0431958081836227|0.0431958081836227|0.195362859739566|0.195362859739566|0.195362859739566|0.195362859739566|0.195362859739566|0.195362859739566|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.46 sec|0.0472119473742488|0.0472119473742488|0.0472119473742488|0.0472119473742488|0.0472119473742488|0.0472119473742488|0.204242989727728|0.204242989727728|0.204242989727728|0.204242989727728|0.204242989727728|0.204242989727728|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
